C.C.; 825722; Alex Bartolomé; Gómez López
C.C.; 6861995; Bartolomé Camilo; Pérez Morales
C.E.; 3381258; Carlos Roberto; García Pérez
C.E.; 3779561; Carlos Roberto; Rojas Rojas
P.T.; 9619662; José Roberto; Castillo Gómez
C.C.; 8614716; Roberto Harrison; Rodríguez Morales
C.E.; 7654740; Andrés Jesús; Rodríguez López
C.E.; 6022804; Alex Fernando; Navarro Rojas
C.C.; 2007309; Juan Pedronel; Delgado Ramírez
C.C.; 9309834; Camilo Roberto; Morales Torres
C.C.; 1890794; Diego Andrés; Ortega Ortega
C.C.; 9072357; Juan Pedronel; Morales Ortega
C.C.; 9183287; Alfonso Jorge; Castillo Ramírez
P.T.; 5105788; Pedro Diego; Mendoza Gómez
P.T.; 9561056; Andrés Pedro; Rojas Sánchez
C.E.; 607968; José Pedro; Hernández Rodríguez
C.C.; 7856486; Roberto Jesús; Rodríguez Torres
P.T.; 9511393; Pedronel Miguel; Morales Silva
P.T.; 7228725; José Camilo; Martínez Morales
P.T.; 5521690; Luis Alfonso; Hernández Cruz
